DATE,PAYMENT_TYPE,STAFF_GROUP_ORDER,STAFF_GROUP,AFC_BAND,GRADE_STEP,AMOUNT,SAMPLE_SIZE
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,All AfC bands,All grade steps,3808.97,1355201
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 1,1,1962.04,32
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 1,2,1855.27,2322
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 1,All grade steps,1856.73,2354
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 2,1,2249.27,34501
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 2,2,2488.38,28665
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 2,3,2419.0,18862
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 2,4,2375.38,9981
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 2,5,2360.82,8663
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 2,6,2279.17,18287
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 2,7,2268.29,65838
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 2,All grade steps,2328.15,184594
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 2,Unknown,1800.4,14
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 3,1,2484.54,41617
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 3,2,2610.88,37618
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 3,3,2680.68,28328
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 3,4,2684.33,16522
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 3,5,2691.65,11061
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 3,6,2650.43,8545
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 3,7,2545.74,77335
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 3,All grade steps,2585.91,220901
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 3,Unknown,2313.8,13
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 4,1,2797.45,26966
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 4,2,2889.08,20802
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 4,3,2870.37,16582
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 4,4,3033.14,9418
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 4,5,3035.61,6256
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 4,6,3021.49,5695
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 4,7,2878.82,46367
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 4,All grade steps,2888.5,132045
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 4,Unknown,2463.8,14
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 5,1,3245.26,55101
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 5,2,3616.77,49919
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 5,3,3776.4,31648
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 5,4,3784.81,22167
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 5,5,4098.57,14788
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 5,6,4203.74,12885
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 5,7,4050.48,8155
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 5,8,3635.17,80197
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 5,All grade steps,3646.81,274804
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 5,Unknown,2967.23,15
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 6,1,4108.62,41220
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 6,2,4241.04,36757
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 6,3,4367.86,30115
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 6,4,4316.66,20246
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 6,5,4247.83,14307
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 6,6,4611.25,11147
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 6,7,4638.84,7121
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 6,8,4697.19,7029
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 6,9,4334.54,87545
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 6,All grade steps,4316.42,255289
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 6,Unknown,3701.73,17
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 7,1,4791.67,24858
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 7,2,4972.16,24180
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 7,3,5182.75,21682
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 7,4,5133.65,14931
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 7,5,5083.98,10656
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 7,6,5431.6,7974
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 7,7,5507.32,4673
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 7,8,5480.66,3977
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 7,9,5111.66,55501
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 7,All grade steps,5095.21,168224
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 7,Unknown,5499.9,10
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 8a,1,5520.14,10598
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 8a,2,5719.89,9905
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 8a,3,5722.1,9111
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 8a,4,5675.46,6282
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 8a,5,5599.97,4063
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 8a,6,5994.25,24672
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 8a,All grade steps,5789.76,64533
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 8b,1,6281.2,4000
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 8b,2,6526.85,4005
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 8b,3,6613.34,3675
