DATE,STAFF_GROUP_ORDER,STAFF_GROUP,PAYMENT_TYPE,AMOUNT,SAMPLE_SIZE
2009-09-30,1,All staff,PUBGRP_010_BASIC_PAY_PER_FTE,2314.6,1160030
2009-09-30,1,All staff,PUBGRP_020_EARNINGS,2402.69,1134301
2009-09-30,1,All staff,PUBGRP_030_BASIC_PAY,2018.45,1134301
2009-09-30,1,All staff,PUBGRP_040_NON_BASIC_PAY_PER_ROLE,384.24,1134301
2009-09-30,1,All staff,PUBGRP_100_ADDITIONAL_ACTIVITY,58.72,1134301
2009-09-30,1,All staff,PUBGRP_110_BAND_SUPPLEMENT,53.05,1134301
2009-09-30,1,All staff,PUBGRP_120_MEDICAL_AWARDS,23.99,1134301
2009-09-30,1,All staff,PUBGRP_130_GEOGRAPHIC_ALLOWANCE,50.0,1134301
2009-09-30,1,All staff,PUBGRP_140_LOCAL,25.3,1134301
2009-09-30,1,All staff,PUBGRP_150_ON_CALL_STANDBY,22.07,1134301
2009-09-30,1,All staff,PUBGRP_160_OVERTIME_ADH,27.78,1134301
2009-09-30,1,All staff,PUBGRP_170_RRP,4.25,1134301
2009-09-30,1,All staff,PUBGRP_180_SHIFT_WORKING,106.5,1134301
2009-09-30,1,All staff,PUBGRP_190_OTHER_PAYMENTS,12.58,1134301
2009-09-30,2,Professionally qualified clinical staff,PUBGRP_010_BASIC_PAY_PER_FTE,2909.38,600825
2009-09-30,2,Professionally qualified clinical staff,PUBGRP_020_EARNINGS,3123.29,585745
2009-09-30,2,Professionally qualified clinical staff,PUBGRP_030_BASIC_PAY,2553.01,585745
2009-09-30,2,Professionally qualified clinical staff,PUBGRP_040_NON_BASIC_PAY_PER_ROLE,570.27,585745
2009-09-30,2,Professionally qualified clinical staff,PUBGRP_100_ADDITIONAL_ACTIVITY,98.66,585745
2009-09-30,2,Professionally qualified clinical staff,PUBGRP_110_BAND_SUPPLEMENT,102.72,585745
2009-09-30,2,Professionally qualified clinical staff,PUBGRP_120_MEDICAL_AWARDS,46.27,585745
2009-09-30,2,Professionally qualified clinical staff,PUBGRP_130_GEOGRAPHIC_ALLOWANCE,58.69,585745
2009-09-30,2,Professionally qualified clinical staff,PUBGRP_140_LOCAL,43.08,585745
2009-09-30,2,Professionally qualified clinical staff,PUBGRP_150_ON_CALL_STANDBY,37.75,585745
2009-09-30,2,Professionally qualified clinical staff,PUBGRP_160_OVERTIME_ADH,29.66,585745
2009-09-30,2,Professionally qualified clinical staff,PUBGRP_170_RRP,4.96,585745
2009-09-30,2,Professionally qualified clinical staff,PUBGRP_180_SHIFT_WORKING,131.17,585745
2009-09-30,2,Professionally qualified clinical staff,PUBGRP_190_OTHER_PAYMENTS,17.31,585745
2009-09-30,3,HCHS doctors - All grades,PUBGRP_010_BASIC_PAY_PER_FTE,4835.55,104404
2009-09-30,3,HCHS doctors - All grades,PUBGRP_020_EARNINGS,6117.08,100719
2009-09-30,3,HCHS doctors - All grades,PUBGRP_030_BASIC_PAY,4397.26,100719
2009-09-30,3,HCHS doctors - All grades,PUBGRP_040_NON_BASIC_PAY_PER_ROLE,1719.82,100719
2009-09-30,3,HCHS doctors - All grades,PUBGRP_100_ADDITIONAL_ACTIVITY,494.83,100719
2009-09-30,3,HCHS doctors - All grades,PUBGRP_110_BAND_SUPPLEMENT,597.15,100719
2009-09-30,3,HCHS doctors - All grades,PUBGRP_120_MEDICAL_AWARDS,268.72,100719
2009-09-30,3,HCHS doctors - All grades,PUBGRP_130_GEOGRAPHIC_ALLOWANCE,35.93,100719
2009-09-30,3,HCHS doctors - All grades,PUBGRP_140_LOCAL,178.97,100719
2009-09-30,3,HCHS doctors - All grades,PUBGRP_150_ON_CALL_STANDBY,88.6,100719
2009-09-30,3,HCHS doctors - All grades,PUBGRP_160_OVERTIME_ADH,2.49,100719
2009-09-30,3,HCHS doctors - All grades,PUBGRP_170_RRP,1.74,100719
2009-09-30,3,HCHS doctors - All grades,PUBGRP_180_SHIFT_WORKING,1.61,100719
2009-09-30,3,HCHS doctors - All grades,PUBGRP_190_OTHER_PAYMENTS,49.78,100719
2009-09-30,4,HCHS doctors - Consultant,PUBGRP_010_BASIC_PAY_PER_FTE,7267.16,37285
2009-09-30,4,HCHS doctors - Consultant,PUBGRP_020_EARNINGS,9369.4,36481
2009-09-30,4,HCHS doctors - Consultant,PUBGRP_030_BASIC_PAY,6838.3,36481
2009-09-30,4,HCHS doctors - Consultant,PUBGRP_040_NON_BASIC_PAY_PER_ROLE,2531.11,36481
2009-09-30,4,HCHS doctors - Consultant,PUBGRP_100_ADDITIONAL_ACTIVITY,1117.19,36481
2009-09-30,4,HCHS doctors - Consultant,PUBGRP_110_BAND_SUPPLEMENT,9.93,36481
2009-09-30,4,HCHS doctors - Consultant,PUBGRP_120_MEDICAL_AWARDS,741.52,36481
2009-09-30,4,HCHS doctors - Consultant,PUBGRP_130_GEOGRAPHIC_ALLOWANCE,35.4,36481
2009-09-30,4,HCHS doctors - Consultant,PUBGRP_140_LOCAL,307.66,36481
2009-09-30,4,HCHS doctors - Consultant,PUBGRP_150_ON_CALL_STANDBY,233.21,36481
2009-09-30,4,HCHS doctors - Consultant,PUBGRP_160_OVERTIME_ADH,3.47,36481
2009-09-30,4,HCHS doctors - Consultant,PUBGRP_170_RRP,4.19,36481
2009-09-30,4,HCHS doctors - Consultant,PUBGRP_180_SHIFT_WORKING,4.03,36481
2009-09-30,4,HCHS doctors - Consultant,PUBGRP_190_OTHER_PAYMENTS,74.5,36481
2009-09-30,5,HCHS doctors - Associate Specialist,PUBGRP_010_BASIC_PAY_PER_FTE,5913.26,3858
2009-09-30,5,HCHS doctors - Associate Specialist,PUBGRP_020_EARNINGS,6421.67,3706
2009-09-30,5,HCHS doctors - Associate Specialist,PUBGRP_030_BASIC_PAY,5235.96,3706
2009-09-30,5,HCHS doctors - Associate Specialist,PUBGRP_040_NON_BASIC_PAY_PER_ROLE,1185.71,3706
2009-09-30,5,HCHS doctors - Associate Specialist,PUBGRP_100_ADDITIONAL_ACTIVITY,707.04,3706
2009-09-30,5,HCHS doctors - Associate Specialist,PUBGRP_110_BAND_SUPPLEMENT,9.38,3706
2009-09-30,5,HCHS doctors - Associate Specialist,PUBGRP_120_MEDICAL_AWARDS,-1.38,3706
2009-09-30,5,HCHS doctors - Associate Specialist,PUBGRP_130_GEOGRAPHIC_ALLOWANCE,28.83,3706
2009-09-30,5,HCHS doctors - Associate Specialist,PUBGRP_140_LOCAL,355.1,3706
2009-09-30,5,HCHS doctors - Associate Specialist,PUBGRP_150_ON_CALL_STANDBY,28.6,3706
2009-09-30,5,HCHS doctors - Associate Specialist,PUBGRP_160_OVERTIME_ADH,12.89,3706
2009-09-30,5,HCHS doctors - Associate Specialist,PUBGRP_170_RRP,0.11,3706
2009-09-30,5,HCHS doctors - Associate Specialist,PUBGRP_180_SHIFT_WORKING,0.89,3706
2009-09-30,5,HCHS doctors - Associate Specialist,PUBGRP_190_OTHER_PAYMENTS,44.25,3706
2009-09-30,6,HCHS doctors - Specialty Doctor,PUBGRP_010_BASIC_PAY_PER_FTE,4627.06,3978
2009-09-30,6,HCHS doctors - Specialty Doctor,PUBGRP_020_EARNINGS,4647.26,3890
2009-09-30,6,HCHS doctors - Specialty Doctor,PUBGRP_030_BASIC_PAY,3733.34,3890
2009-09-30,6,HCHS doctors - Specialty Doctor,PUBGRP_040_NON_BASIC_PAY_PER_ROLE,913.92,3890
2009-09-30,6,HCHS doctors - Specialty Doctor,PUBGRP_100_ADDITIONAL_ACTIVITY,593.16,3890
2009-09-30,6,HCHS doctors - Specialty Doctor,PUBGRP_110_BAND_SUPPLEMENT,32.02,3890
2009-09-30,6,HCHS doctors - Specialty Doctor,PUBGRP_120_MEDICAL_AWARDS,0.0,3890
2009-09-30,6,HCHS doctors - Specialty Doctor,PUBGRP_130_GEOGRAPHIC_ALLOWANCE,22.73,3890
2009-09-30,6,HCHS doctors - Specialty Doctor,PUBGRP_140_LOCAL,209.01,3890
2009-09-30,6,HCHS doctors - Specialty Doctor,PUBGRP_150_ON_CALL_STANDBY,26.07,3890
2009-09-30,6,HCHS doctors - Specialty Doctor,PUBGRP_160_OVERTIME_ADH,-4.2,3890
2009-09-30,6,HCHS doctors - Specialty Doctor,PUBGRP_170_RRP,0.35,3890
2009-09-30,6,HCHS doctors - Specialty Doctor,PUBGRP_180_SHIFT_WORKING,1.08,3890
2009-09-30,6,HCHS doctors - Specialty Doctor,PUBGRP_190_OTHER_PAYMENTS,33.7,3890
2009-09-30,7,HCHS doctors - Staff Grade,PUBGRP_010_BASIC_PAY_PER_FTE,4330.71,2509
2009-09-30,7,HCHS doctors - Staff Grade,PUBGRP_020_EARNINGS,4948.11,2438
2009-09-30,7,HCHS doctors - Staff Grade,PUBGRP_030_BASIC_PAY,3639.26,2438
2009-09-30,7,HCHS doctors - Staff Grade,PUBGRP_040_NON_BASIC_PAY_PER_ROLE,1308.85,2438
2009-09-30,7,HCHS doctors - Staff Grade,PUBGRP_100_ADDITIONAL_ACTIVITY,720.98,2438
2009-09-30,7,HCHS doctors - Staff Grade,PUBGRP_110_BAND_SUPPLEMENT,88.86,2438
2009-09-30,7,HCHS doctors - Staff Grade,PUBGRP_120_MEDICAL_AWARDS,1.34,2438
2009-09-30,7,HCHS doctors - Staff Grade,PUBGRP_130_GEOGRAPHIC_ALLOWANCE,22.56,2438
2009-09-30,7,HCHS doctors - Staff Grade,PUBGRP_140_LOCAL,398.37,2438
2009-09-30,7,HCHS doctors - Staff Grade,PUBGRP_150_ON_CALL_STANDBY,19.66,2438
2009-09-30,7,HCHS doctors - Staff Grade,PUBGRP_160_OVERTIME_ADH,11.21,2438
2009-09-30,7,HCHS doctors - Staff Grade,PUBGRP_170_RRP,6.15,2438
2009-09-30,7,HCHS doctors - Staff Grade,PUBGRP_180_SHIFT_WORKING,0.2,2438
2009-09-30,7,HCHS doctors - Staff Grade,PUBGRP_190_OTHER_PAYMENTS,39.51,2438
2009-09-30,8,HCHS doctors - Specialty Registrar,PUBGRP_010_BASIC_PAY_PER_FTE,3164.32,30927
2009-09-30,8,HCHS doctors - Specialty Registrar,PUBGRP_020_EARNINGS,4689.07,29702
2009-09-30,8,HCHS doctors - Specialty Registrar,PUBGRP_030_BASIC_PAY,3068.05,29702
2009-09-30,8,HCHS doctors - Specialty Registrar,PUBGRP_040_NON_BASIC_PAY_PER_ROLE,1621.02,29702
2009-09-30,8,HCHS doctors - Specialty Registrar,PUBGRP_100_ADDITIONAL_ACTIVITY,54.79,29702
2009-09-30,8,HCHS doctors - Specialty Registrar,PUBGRP_110_BAND_SUPPLEMENT,1376.67,29702
2009-09-30,8,HCHS doctors - Specialty Registrar,PUBGRP_120_MEDICAL_AWARDS,0.0,29702
2009-09-30,8,HCHS doctors - Specialty Registrar,PUBGRP_130_GEOGRAPHIC_ALLOWANCE,46.01,29702
2009-09-30,8,HCHS doctors - Specialty Registrar,PUBGRP_140_LOCAL,86.73,29702
2009-09-30,8,HCHS doctors - Specialty Registrar,PUBGRP_150_ON_CALL_STANDBY,3.14,29702
2009-09-30,8,HCHS doctors - Specialty Registrar,PUBGRP_160_OVERTIME_ADH,0.97,29702
2009-09-30,8,HCHS doctors - Specialty Registrar,PUBGRP_170_RRP,0.17,29702
2009-09-30,8,HCHS doctors - Specialty Registrar,PUBGRP_180_SHIFT_WORKING,0.07,29702
2009-09-30,8,HCHS doctors - Specialty Registrar,PUBGRP_190_OTHER_PAYMENTS,52.47,29702
2009-09-30,9,HCHS doctors - Core Training,PUBGRP_010_BASIC_PAY_PER_FTE,2668.71,7530
2009-09-30,9,HCHS doctors - Core Training,PUBGRP_020_EARNINGS,3995.25,7509
2009-09-30,9,HCHS doctors - Core Training,PUBGRP_030_BASIC_PAY,2652.14,7509
2009-09-30,9,HCHS doctors - Core Training,PUBGRP_040_NON_BASIC_PAY_PER_ROLE,1343.11,7509
2009-09-30,9,HCHS doctors - Core Training,PUBGRP_100_ADDITIONAL_ACTIVITY,39.53,7509
2009-09-30,9,HCHS doctors - Core Training,PUBGRP_110_BAND_SUPPLEMENT,1174.37,7509
2009-09-30,9,HCHS doctors - Core Training,PUBGRP_120_MEDICAL_AWARDS,0.0,7509
2009-09-30,9,HCHS doctors - Core Training,PUBGRP_130_GEOGRAPHIC_ALLOWANCE,37.01,7509
2009-09-30,9,HCHS doctors - Core Training,PUBGRP_140_LOCAL,67.44,7509
2009-09-30,9,HCHS doctors - Core Training,PUBGRP_150_ON_CALL_STANDBY,2.94,7509
2009-09-30,9,HCHS doctors - Core Training,PUBGRP_160_OVERTIME_ADH,2.05,7509
2009-09-30,9,HCHS doctors - Core Training,PUBGRP_170_RRP,0.0,7509
2009-09-30,9,HCHS doctors - Core Training,PUBGRP_180_SHIFT_WORKING,0.01,7509
2009-09-30,9,HCHS doctors - Core Training,PUBGRP_190_OTHER_PAYMENTS,19.77,7509
2009-09-30,10,HCHS doctors - Foundation Doctor Year 2,PUBGRP_010_BASIC_PAY_PER_FTE,2318.96,6067
2009-09-30,10,HCHS doctors - Foundation Doctor Year 2,PUBGRP_020_EARNINGS,3291.14,6063
2009-09-30,10,HCHS doctors - Foundation Doctor Year 2,PUBGRP_030_BASIC_PAY,2321.23,6063
2009-09-30,10,HCHS doctors - Foundation Doctor Year 2,PUBGRP_040_NON_BASIC_PAY_PER_ROLE,969.91,6063
2009-09-30,10,HCHS doctors - Foundation Doctor Year 2,PUBGRP_100_ADDITIONAL_ACTIVITY,14.42,6063
2009-09-30,10,HCHS doctors - Foundation Doctor Year 2,PUBGRP_110_BAND_SUPPLEMENT,882.45,6063
2009-09-30,10,HCHS doctors - Foundation Doctor Year 2,PUBGRP_120_MEDICAL_AWARDS,0.0,6063
2009-09-30,10,HCHS doctors - Foundation Doctor Year 2,PUBGRP_130_GEOGRAPHIC_ALLOWANCE,32.85,6063
2009-09-30,10,HCHS doctors - Foundation Doctor Year 2,PUBGRP_140_LOCAL,29.49,6063
2009-09-30,10,HCHS doctors - Foundation Doctor Year 2,PUBGRP_150_ON_CALL_STANDBY,1.46,6063
2009-09-30,10,HCHS doctors - Foundation Doctor Year 2,PUBGRP_160_OVERTIME_ADH,1.16,6063
2009-09-30,10,HCHS doctors - Foundation Doctor Year 2,PUBGRP_170_RRP,0.0,6063
2009-09-30,10,HCHS doctors - Foundation Doctor Year 2,PUBGRP_180_SHIFT_WORKING,0.01,6063
2009-09-30,10,HCHS doctors - Foundation Doctor Year 2,PUBGRP_190_OTHER_PAYMENTS,8.07,6063
2009-09-30,11,HCHS doctors - Foundation Doctor Year 1,PUBGRP_010_BASIC_PAY_PER_FTE,1865.5,6072
2009-09-30,11,HCHS doctors - Foundation Doctor Year 1,PUBGRP_020_EARNINGS,2626.46,6065
2009-09-30,11,HCHS doctors - Foundation Doctor Year 1,PUBGRP_030_BASIC_PAY,1856.25,6065
2009-09-30,11,HCHS doctors - Foundation Doctor Year 1,PUBGRP_040_NON_BASIC_PAY_PER_ROLE,770.21,6065
2009-09-30,11,HCHS doctors - Foundation Doctor Year 1,PUBGRP_100_ADDITIONAL_ACTIVITY,6.93,6065
2009-09-30,11,HCHS doctors - Foundation Doctor Year 1,PUBGRP_110_BAND_SUPPLEMENT,710.48,6065
2009-09-30,11,HCHS doctors - Foundation Doctor Year 1,PUBGRP_120_MEDICAL_AWARDS,0.0,6065
2009-09-30,11,HCHS doctors - Foundation Doctor Year 1,PUBGRP_130_GEOGRAPHIC_ALLOWANCE,31.22,6065
2009-09-30,11,HCHS doctors - Foundation Doctor Year 1,PUBGRP_140_LOCAL,16.46,6065
