DATE,STAFF_GROUP_ORDER,STAFF_GROUP,PAYMENT_TYPE,AMOUNT,SAMPLE_SIZE
2009-09-30,1,All staff,PUBGRP_100_ADDITIONAL_ACTIVITY,539.62,123438
2009-09-30,1,All staff,PUBGRP_110_BAND_SUPPLEMENT,1351.12,44539
2009-09-30,1,All staff,PUBGRP_120_MEDICAL_AWARDS,1331.01,20443
2009-09-30,1,All staff,PUBGRP_130_GEOGRAPHIC_ALLOWANCE,250.52,226389
2009-09-30,1,All staff,PUBGRP_140_LOCAL,406.14,70647
2009-09-30,1,All staff,PUBGRP_150_ON_CALL_STANDBY,281.39,88946
2009-09-30,1,All staff,PUBGRP_160_OVERTIME_ADH,286.67,109936
2009-09-30,1,All staff,PUBGRP_170_RRP,77.62,62177
2009-09-30,1,All staff,PUBGRP_180_SHIFT_WORKING,283.9,425501
2009-09-30,1,All staff,PUBGRP_190_OTHER_PAYMENTS,151.43,94211
2009-09-30,2,Professionally qualified clinical staff,PUBGRP_100_ADDITIONAL_ACTIVITY,891.46,64825
2009-09-30,2,Professionally qualified clinical staff,PUBGRP_110_BAND_SUPPLEMENT,1351.2,44531
2009-09-30,2,Professionally qualified clinical staff,PUBGRP_120_MEDICAL_AWARDS,1330.01,20379
2009-09-30,2,Professionally qualified clinical staff,PUBGRP_130_GEOGRAPHIC_ALLOWANCE,258.85,132801
2009-09-30,2,Professionally qualified clinical staff,PUBGRP_140_LOCAL,506.47,49823
2009-09-30,2,Professionally qualified clinical staff,PUBGRP_150_ON_CALL_STANDBY,303.25,72909
2009-09-30,2,Professionally qualified clinical staff,PUBGRP_160_OVERTIME_ADH,330.24,52612
2009-09-30,2,Professionally qualified clinical staff,PUBGRP_170_RRP,56.23,51681
2009-09-30,2,Professionally qualified clinical staff,PUBGRP_180_SHIFT_WORKING,313.47,245100
2009-09-30,2,Professionally qualified clinical staff,PUBGRP_190_OTHER_PAYMENTS,177.26,57198
2009-09-30,3,HCHS doctors - All grades,PUBGRP_100_ADDITIONAL_ACTIVITY,1661.75,29992
2009-09-30,3,HCHS doctors - All grades,PUBGRP_110_BAND_SUPPLEMENT,1352.53,44468
2009-09-30,3,HCHS doctors - All grades,PUBGRP_120_MEDICAL_AWARDS,1329.98,20350
