DATA_MONTH,DATA_LEVEL,NHSE_REGION_CODE,NHSE_REGION_NAME,ICS_CODE,ICS_NAME,ORG_CODE,ORG_NAME,MAIN_STAFF_GROUP,STAFF_GROUP_1,CARE_SETTING_OR_SPECIALTY,PRIMARY_AREA_OF_WORK,SECONDARY_AREA_OF_WORK,TERTIARY_AREA_OF_WORK,MENTAL_HEALTH_CLASSIFICATION,FTE
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Professionally qualified clinical staff,Nurses & health visitors,Adult and General,Mental Health,Mental Health,Mental Health,Mental Health Area of Work,1.0
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Professionally qualified clinical staff,Nurses & health visitors,Community Learning Disabilities,Medicine,Paediatrics,Paediatrics,Mental Health Occupation Code,1.91
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Professionally qualified clinical staff,Nurses & health visitors,Community Learning Disabilities,Primary Care,Community Health Services,Community Health Services,Mental Health Occupation Code,7.0
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Professionally qualified clinical staff,Nurses & health visitors,Community Mental Health,Primary Care,Community Health Services,Community Health Services,Mental Health Occupation Code,1.0
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Applied Psychology,Clinical Support,Cancer Support,Cancer Support,Mental Health Occupation Code,6.8
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Applied Psychology,Clinical Support,Dietetics,Dietetics,Mental Health Occupation Code,1.4
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Applied Psychology,Clinical Support,Physiotherapy,Physiotherapy,Mental Health Occupation Code,1.2
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Applied Psychology,Corporate,Corporate,Corporate,Mental Health Occupation Code,0.5
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Applied Psychology,Corporate,"Digital, Data and Technology","Digital, Data and Technology",Mental Health Occupation Code,1.0
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Applied Psychology,Corporate,Research and Development,Research and Development,Mental Health Occupation Code,14.11334
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Applied Psychology,Dental/Oral,Dental/Oral,Dental/Oral,Mental Health Occupation Code,3.1925
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Applied Psychology,General Acute,Intensive Care,Critical Care,Mental Health Occupation Code,1.8
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Applied Psychology,Medicine,Allergy,Allergy,Mental Health Occupation Code,1.4
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Applied Psychology,Medicine,Cardiology,Cardiology,Mental Health Occupation Code,1.2
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Applied Psychology,Medicine,Clinical Genetics,Clinical Genetics,Mental Health Occupation Code,2.0
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Applied Psychology,Medicine,Clinical Haematology,Clinical Haematology,Mental Health Occupation Code,7.18
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Applied Psychology,Medicine,Dermatology,Dermatology,Mental Health Occupation Code,2.50667
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Applied Psychology,Medicine,Endocrinology and Diabetes Mellitus,Endocrinology and Diabetes Mellitus,Mental Health Occupation Code,0.70933
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Applied Psychology,Medicine,Gastro-enterology,Gastro-enterology,Mental Health Occupation Code,1.0
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Applied Psychology,Medicine,Neurology,Neurology,Mental Health Occupation Code,1.7
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Applied Psychology,Medicine,Paediatrics,Paediatric Neonatal Medicine,Mental Health Occupation Code,0.6
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Applied Psychology,Medicine,Paediatrics,Paediatric Neurology,Mental Health Occupation Code,1.3
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Applied Psychology,Medicine,Paediatrics,Paediatrics,Mental Health Occupation Code,12.56
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Applied Psychology,Medicine,Rehabilitation,Rehabilitation,Mental Health Occupation Code,4.5
