DATA_MONTH,DATA_LEVEL,NHSE_REGION_CODE,NHSE_REGION_NAME,ICS_CODE,ICS_NAME,ORG_CODE,ORG_NAME,SPECIALTY_GROUP,SPECIALTY,STAFF_GROUP_1,GRADE,FTE,HEADCOUNT
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Anaesthetics group,Anaesthetics,HCHS doctors - Associate Specialist,Associate Specialist,1.0,1
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Anaesthetics group,Anaesthetics,HCHS doctors - Consultant,Consultant,183.12,191
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Anaesthetics group,Anaesthetics,HCHS doctors - Core Training,Core Training,23.65,24
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Anaesthetics group,Anaesthetics,HCHS doctors - Foundation Doctor Year 1,Foundation Doctor Year 1,2.0,2
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Anaesthetics group,Anaesthetics,HCHS doctors - Specialty Doctor,Specialty Doctor,8.0,8
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Anaesthetics group,Anaesthetics,HCHS doctors - Specialty Registrar,Specialty Registrar,82.9755,86
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Anaesthetics group,Intensive care medicine,HCHS doctors - Consultant,Consultant,58.1,60
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Anaesthetics group,Intensive care medicine,HCHS doctors - Core Training,Core Training,66.00625,67
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Anaesthetics group,Intensive care medicine,HCHS doctors - Foundation Doctor Year 2,Foundation Doctor Year 2,2.0,2
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Anaesthetics group,Intensive care medicine,HCHS doctors - Specialty Registrar,Specialty Registrar,53.8875,56
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Clinical oncology,Clinical oncology,HCHS doctors - Associate Specialist,Associate Specialist,0.7,1
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Clinical oncology,Clinical oncology,HCHS doctors - Consultant,Consultant,41.625,45
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Clinical oncology,Clinical oncology,HCHS doctors - Core Training,Core Training,11.06875,12
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Clinical oncology,Clinical oncology,HCHS doctors - Foundation Doctor Year 1,Foundation Doctor Year 1,2.0,2
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Clinical oncology,Clinical oncology,HCHS doctors - Foundation Doctor Year 2,Foundation Doctor Year 2,1.0,1
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Clinical oncology,Clinical oncology,HCHS doctors - Specialty Doctor,Specialty Doctor,3.0,3
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Clinical oncology,Clinical oncology,HCHS doctors - Specialty Registrar,Specialty Registrar,19.4,20
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Dental group,Dental and maxillo-facial radiology,HCHS doctors - Consultant,Consultant,2.5,4
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Dental group,Dental and maxillo-facial radiology,HCHS doctors - Specialty Registrar,Specialty Registrar,2.0,2
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Dental group,Endodontics,HCHS doctors - Consultant,Consultant,0.4,1
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Dental group,Oral medicine,HCHS doctors - Core Training,Core Training,3.0,3
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Dental group,Oral medicine,HCHS doctors - Specialty Registrar,Specialty Registrar,1.0,1
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Dental group,Oral surgery,HCHS doctors - Associate Specialist,Associate Specialist,1.2,2
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Dental group,Oral surgery,HCHS doctors - Consultant,Consultant,10.15,12
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Dental group,Oral surgery,HCHS doctors - Core Training,Core Training,11.0,11
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Dental group,Oral surgery,HCHS doctors - Specialty Doctor,Specialty Doctor,24.2,44
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Dental group,Oral surgery,HCHS doctors - Specialty Registrar,Specialty Registrar,7.4,8
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Dental group,Orthodontics,HCHS doctors - Consultant,Consultant,4.45,9
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Dental group,Orthodontics,HCHS doctors - Specialty Registrar,Specialty Registrar,1.6,2
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Dental group,Paediatric dentistry,HCHS doctors - Consultant,Consultant,7.8,10
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Dental group,Paediatric dentistry,HCHS doctors - Specialty Doctor,Specialty Doctor,0.2,1
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Dental group,Paediatric dentistry,HCHS doctors - Specialty Registrar,Specialty Registrar,3.2,4
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Dental group,Periodontics,HCHS doctors - Consultant,Consultant,0.95,1
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Dental group,Prosthodontics,HCHS doctors - Consultant,Consultant,0.2,1
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Dental group,Restorative dentistry,HCHS doctors - Consultant,Consultant,22.385,30
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Dental group,Restorative dentistry,HCHS doctors - Specialty Doctor,Specialty Doctor,1.4,2
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Dental group,Restorative dentistry,HCHS doctors - Specialty Registrar,Specialty Registrar,3.0,3
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Emergency medicine,Emergency medicine,HCHS doctors - Associate Specialist,Associate Specialist,0.25,1
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Emergency medicine,Emergency medicine,HCHS doctors - Consultant,Consultant,38.613,42
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Emergency medicine,Emergency medicine,HCHS doctors - Core Training,Core Training,41.92125,45
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Emergency medicine,Emergency medicine,HCHS doctors - Foundation Doctor Year 2,Foundation Doctor Year 2,20.0,20
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Emergency medicine,Emergency medicine,HCHS doctors - Specialty Doctor,Specialty Doctor,1.7,2
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Emergency medicine,Emergency medicine,HCHS doctors - Specialty Registrar,Specialty Registrar,26.625,29
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,General medicine group,Allergy,HCHS doctors - Consultant,Consultant,6.775,8
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,General medicine group,Allergy,HCHS doctors - Core Training,Core Training,1.0,1
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,General medicine group,Allergy,HCHS doctors - Specialty Registrar,Specialty Registrar,5.0,6
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,General medicine group,Cardiology,HCHS doctors - Associate Specialist,Associate Specialist,2.0,2
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,General medicine group,Cardiology,HCHS doctors - Consultant,Consultant,85.85,95
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,General medicine group,Cardiology,HCHS doctors - Core Training,Core Training,49.0375,50
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,General medicine group,Cardiology,HCHS doctors - Specialty Doctor,Specialty Doctor,0.4,1
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,General medicine group,Cardiology,HCHS doctors - Specialty Registrar,Specialty Registrar,59.1125,58
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,General medicine group,Clinical genetics,HCHS doctors - Consultant,Consultant,15.35,21
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,General medicine group,Clinical genetics,HCHS doctors - Specialty Registrar,Specialty Registrar,3.4,4
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,General medicine group,Clinical neurophysiology,HCHS doctors - Consultant,Consultant,1.0,1
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,General medicine group,Clinical pharmacology and therapeutics,HCHS doctors - Consultant,Consultant,0.6,1
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,General medicine group,Clinical pharmacology and therapeutics,HCHS doctors - Specialty Registrar,Specialty Registrar,2.5125,3
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,General medicine group,Dermatology,HCHS doctors - Consultant,Consultant,36.924,49
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,General medicine group,Dermatology,HCHS doctors - Core Training,Core Training,14.67875,15
2025-10-31,Organisation,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,General medicine group,Dermatology,HCHS doctors - Specialty Doctor,Specialty Doctor,0.40001,2
