PERIOD,TYPE,NHSE_REGION_CODE,NHSE_REGION_NAME,MAIN_STAFF_GROUP,STAFF_GROUP,HC,FTE
200909 to 201009,Denominator at end of period,All NHSE regions,All NHSE regions,All staff groups,All staff groups,1159716,1008013.25573
200909 to 201009,Denominator at end of period,All NHSE regions,All NHSE regions,Professionally qualified clinical staff,All staff groups,600547,533577.05441
200909 to 201009,Denominator at end of period,All NHSE regions,All NHSE regions,Professionally qualified clinical staff,HCHS doctors - All grades,103238,96547.08027
200909 to 201009,Denominator at end of period,All NHSE regions,All NHSE regions,Professionally qualified clinical staff,HCHS doctors - Consultant,38258,36269.57808
200909 to 201009,Denominator at end of period,All NHSE regions,All NHSE regions,Professionally qualified clinical staff,HCHS doctors - Associate Specialist,3711,3254.89724
200909 to 201009,Denominator at end of period,All NHSE regions,All NHSE regions,Professionally qualified clinical staff,HCHS doctors - Specialty Doctor,5041,4199.72467
200909 to 201009,Denominator at end of period,All NHSE regions,All NHSE regions,Professionally qualified clinical staff,HCHS doctors - Staff Grade,1420,1206.05305
200909 to 201009,Denominator at end of period,All NHSE regions,All NHSE regions,Professionally qualified clinical staff,HCHS doctors - Specialty Registrar,29539,28818.2516
200909 to 201009,Denominator at end of period,All NHSE regions,All NHSE regions,Professionally qualified clinical staff,HCHS doctors - Core Training,8259,8188.26478
200909 to 201009,Denominator at end of period,All NHSE regions,All NHSE regions,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 2,6365,6308.83665
200909 to 201009,Denominator at end of period,All NHSE regions,All NHSE regions,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 1,6147,6121.99943
200909 to 201009,Denominator at end of period,All NHSE regions,All NHSE regions,Professionally qualified clinical staff,HCHS doctors - Hospital Practitioner / Clinical Assistant,3230,973.12479
200909 to 201009,Denominator at end of period,All NHSE regions,All NHSE regions,Professionally qualified clinical staff,HCHS doctors - Other HCHS Doctor Grades,1848,1206.34998
200909 to 201009,Denominator at end of period,All NHSE regions,All NHSE regions,Professionally qualified clinical staff,Nurses & health visitors,315750,278891.64984
200909 to 201009,Denominator at end of period,All NHSE regions,All NHSE regions,Professionally qualified clinical staff,Midwives,24042,19392.085
200909 to 201009,Denominator at end of period,All NHSE regions,All NHSE regions,Professionally qualified clinical staff,Ambulance staff,18169,17440.85156
200909 to 201009,Denominator at end of period,All NHSE regions,All NHSE regions,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",139883,121305.38774
200909 to 201009,Denominator at end of period,All NHSE regions,All NHSE regions,Support to clinical staff,All staff groups,343886,286940.2087
200909 to 201009,Denominator at end of period,All NHSE regions,All NHSE regions,Support to clinical staff,"Support to doctors, nurses & midwives",269582,223604.04822
200909 to 201009,Denominator at end of period,All NHSE regions,All NHSE regions,Support to clinical staff,Support to ambulance staff,14563,13289.68693
200909 to 201009,Denominator at end of period,All NHSE regions,All NHSE regions,Support to clinical staff,Support to ST&T staff,60289,50046.47355
200909 to 201009,Denominator at end of period,All NHSE regions,All NHSE regions,NHS infrastructure support,All staff groups,213490,183878.8873
200909 to 201009,Denominator at end of period,All NHSE regions,All NHSE regions,NHS infrastructure support,Senior managers,11447,11070.14125
