PERIOD,TYPE,MAIN_STAFF_GROUP,STAFF_GROUP,GRADE,AGE_BAND,HC,FTE
200909 to 201009,Denominator at end of period,All staff groups,All staff groups,All grades,All age bands,1159716,1008013.25573
200909 to 201009,Denominator at end of period,All staff groups,All staff groups,All grades,Under 25,62595,58244.18378
200909 to 201009,Denominator at end of period,All staff groups,All staff groups,All grades,25 to 34,247868,225937.57586
200909 to 201009,Denominator at end of period,All staff groups,All staff groups,All grades,35 to 44,316671,271916.7371
200909 to 201009,Denominator at end of period,All staff groups,All staff groups,All grades,45 to 54,343812,299639.67594
200909 to 201009,Denominator at end of period,All staff groups,All staff groups,All grades,55 to 64,174065,143168.73229
200909 to 201009,Denominator at end of period,All staff groups,All staff groups,All grades,65 and over,14704,9105.35076
200909 to 201009,Denominator at end of period,All staff groups,All staff groups,All grades,Unknown,1,1.0
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,All staff groups,All grades,All age bands,600547,533577.05441
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,All staff groups,All grades,Under 25,26115,25822.89401
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,All staff groups,All grades,25 to 34,149833,139990.11656
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,All staff groups,All grades,35 to 44,182375,159271.53551
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,All staff groups,All grades,45 to 54,172235,151553.83641
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,All staff groups,All grades,55 to 64,65862,54517.52875
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,All staff groups,All grades,65 and over,4126,2420.14317
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,All staff groups,All grades,Unknown,1,1.0
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,HCHS doctors - All grades,All grades,All age bands,103238,96547.08027
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,HCHS doctors - All grades,All grades,Under 25,4698,4695.92143
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,HCHS doctors - All grades,All grades,25 to 34,35374,34632.54592
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,HCHS doctors - All grades,All grades,35 to 44,30792,28808.96103
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,HCHS doctors - All grades,All grades,45 to 54,20980,18880.67191
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,HCHS doctors - All grades,All grades,55 to 64,10249,8829.17203
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,HCHS doctors - All grades,All grades,65 and over,1144,698.80795
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,HCHS doctors - All grades,All grades,Unknown,1,1.0
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,HCHS doctors - Consultant,Consultant,All age bands,38258,36269.57808
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,HCHS doctors - Consultant,Consultant,25 to 34,849,818.61091
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,HCHS doctors - Consultant,Consultant,35 to 44,14979,14369.25402
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,HCHS doctors - Consultant,Consultant,45 to 54,14725,14159.04681
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,HCHS doctors - Consultant,Consultant,55 to 64,7029,6487.51725
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,HCHS doctors - Consultant,Consultant,65 and over,675,434.14909
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,HCHS doctors - Consultant,Consultant,Unknown,1,1.0
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,HCHS doctors - Associate Specialist,Associate Specialist,All age bands,3711,3254.89724
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,HCHS doctors - Associate Specialist,Associate Specialist,25 to 34,34,28.79584
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,HCHS doctors - Associate Specialist,Associate Specialist,35 to 44,670,572.24016
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,HCHS doctors - Associate Specialist,Associate Specialist,45 to 54,1584,1409.17124
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,HCHS doctors - Associate Specialist,Associate Specialist,55 to 64,1263,1127.8869
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,HCHS doctors - Associate Specialist,Associate Specialist,65 and over,160,116.8031
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,HCHS doctors - Specialty Doctor,Specialty Doctor,All age bands,5041,4199.72467
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,HCHS doctors - Specialty Doctor,Specialty Doctor,25 to 34,811,685.54893
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,HCHS doctors - Specialty Doctor,Specialty Doctor,35 to 44,2202,1923.48681
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,HCHS doctors - Specialty Doctor,Specialty Doctor,45 to 54,1362,1087.01556
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,HCHS doctors - Specialty Doctor,Specialty Doctor,55 to 64,582,450.77337
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,HCHS doctors - Specialty Doctor,Specialty Doctor,65 and over,84,52.9
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,HCHS doctors - Staff Grade,Staff Grade,All age bands,1420,1206.05305
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,HCHS doctors - Staff Grade,Staff Grade,25 to 34,107,94.31582
